"","COUNTRY","ISO3","CPI_SCORE_2017","CPI_RANK_2017","N_SOURCES_2017","STD_ERROR_2017","ID","WEBNAME","WORLD_RANK","REGION_RANK","HERITAGE_INDEX_2017","PROPERTY_RIGHTS","JUDICAL_EFFECTIVENESS","GOVERNMENT_INTEGRITY","TAX_BURDEN","GOV_SPENDING","FISCAL_HEALTH","BUSINESS_FREEDOM","LABOR_FREEDOM","MONETARY_FREEDOM","TRADE_FREEDOM","INVESTMENT_FREEDOM","FINANCIAL_FREEDOM","TARIFF_RATE_PRCT","INCOME_TAX_RATE_PRCT","CORPORATE_TAX_RATE_PRCT","TAX_BURDEN_OF_GDP","GOV_EXPENDITURE_OF_GDP","POPULATION","GDP_PPP","GDP_GROWTH_RATE_PRCT","FIVE_YEAR_GDP_GROWTH_RATE_PRCT","GDP_PER_CAPITA_PPP","UNEMPLOYMENT_PRCT","INFLATION_PRCT","FDI_INFLOW","PUBLIC_DEBT_PRCT_OF_GDP","GOV_EXPENDITURE_EDUC_PRCT_OF_GDP","TEENS_OUT_OF_SCHOOL_PRCT","CHILDREN_OUT_OF_SCHOOL_PRCT","GINI_INDEX","LITERACY_RATE_YOUTH","LITERACY_RATE_ADULT","LIFE_EXPECTANCY","POP_AGES_0TO14_PRCT","POP_AGES_15TO64_PRCT","POP_AGES_65_AND_ABOVE_PRCT","REGION","GDP_PER_CAPITA_QUANTILE","factor(GDP_PER_CAPITA_QUANTILE)","DUMMY_CPI","DUMMY_CPI_ORDERED","log_GDP_PPP","log_GDP_PER_CAPITA_PPP","team_size","problem1","problem2","problem3","problem4","problem5","problem6","total","rank","gold_medals","silver_medals","bronze_medals","honourable_mentions"
"74","Azerbaijan","AZE",0.31,122,7,5.64,"9","Azerbaijan",68,15,0.6359900435,0.5045059177,0.3296049189,0.376,0.877336,0.5754959167,0.973921358,0.715,0.7495048081,0.7361116021,0.7444,0.55,0.5,0.053,0.25,0.2,14.2,38.544,9500000,1.694e+11,0.011,0.024,17993.4,0.047,0.04,4047700000,0.361,0.0247381997108459,0.00425509989261627,0.0206896996498108,27.5,99.9380493164063,99.7912292480469,72.693,0.232876635802595,0.707226479179956,0.0598968850174499,"Asia-Pacific","(1.76e+04,8.53e+04]","(1.76e+04,8.53e+04]",0,3,25.8555286191644,9.79776030297298,6,37,19,0,42,0,0,98,42,0,0,4,2
"75","Paraguay","PRY",0.29,135,6,3.1,"129","Paraguay",80,17,0.6243078418,0.3821301149,0.2330586081,0.326,0.961775,0.8300061144,0.9510421512,0.624,0.2849298942,0.7827522187,0.766,0.75,0.6,0.042,0.1,0.1,13.5,24.447,7e+06,6.1e+10,0.03,0.05,8707.8,0.049,0.029,282700000,0.238,0.0308968997001648,0.0272835993766785,0.0272662508487702,48.5,99.156265258789,93.4897003173828,73.992,0.297043524151016,0.640546370565225,0.0624101052837597,"Americas","(8.4e+03,1.32e+04]","(8.4e+03,1.32e+04]",0,1,24.8341397011197,9.07197445470437,6,35,1,0,12,0,0,48,88,0,0,0,2
"76","Uganda","UGA",0.26,151,9,2.11,"171","Uganda",91,9,0.6091296311,0.3925632366,0.3459576138,0.2867223674,0.737004,0.9100364533,0.7814510784,0.424,0.8460655727,0.8027552512,0.783,0.6,0.4,0.059,0.4,0.3,11.4,18.017,39200000,7.99e+10,0.05,0.047,2002.6,0.036,0.058,1057300000,0.354,0.0226336002349854,0.487553596496582,0.139053297042847,44.3,71.1166152954102,51.8358001708985,62.516,0.473199381984244,0.507597569174302,0.0192030488414537,"Sub-Saharan Africa","(1.52e+03,2.63e+03]","(1.52e+03,2.63e+03]",0,1,25.1040416897186,7.6022016152737,6,6,5,0,11,0,0,22,95,0,0,0,1
"77","Bangladesh","BGD",0.28,143,8,3.19,"12","Bangladesh",128,28,0.5498164,0.34880078,0.2600078493,0.1913040143,0.727604,0.9400068075,0.786839006,0.534,0.6867421387,0.6864922044,0.636,0.5,0.3,0.107,0.25,0.45,8.6,13.817,159900000,5.765e+11,0.064,0.063,3606.6,0.044,0.064,2235400000,0.34,0.0453353023529053,0.331273918151855,0.0352287006378174,37.3,92.9507598876953,72.8929672241211,72.052,0.282245879874421,0.66625937004745,0.0514947500781286,"Asia-Pacific","[1.95e+03,3.95e+03]","[1.95e+03,3.95e+03]",0,1,27.0802411766555,8.19052077927317,6,42,17,0,42,10,0,111,26,0,2,2,2
"78","Uzbekistan","UZB",0.22,157,7,2.11,"177","Uzbekistan",148,36,0.5226452222,0.48,0.419,0.275,0.907,0.6618090975,0.9977127673,0.648,0.5041248758,0.6110959263,0.668,0,0.1,0.066,0.22,0.075,19.7,34.398,3.1e+07,1.879e+11,0.08,0.081,6068.4,0.101,0.085,1068400000,0.107,0.052813401222229,0.0392283010482788,0.00722959995269775,37.4,83.8085060119629,62.8465995788575,71.388,0.285183238873478,0.672169165092944,0.0426475960335778,"Asia-Pacific","(3.95e+03,9.38e+03]","(3.95e+03,9.38e+03]",0,1,25.9591757433658,8.71085025787394,5,16,18,0,35,0,0,69,74,0,1,0,4
"79","Guatemala","GTM",0.28,143,7,2.19,"65","Guatemala",74,15,0.6300650854,0.4498652838,0.2776687598,0.2746772702,0.792175,0.9482888077,0.9349244311,0.587,0.482018889,0.7937625832,0.8704,0.65,0.5,0.015,0.31,0.31,12.5,12.244,16300000,1.259e+11,0.04,0.038,7737.6,0.027,0.024,1208400000,0.243,0.0295009994506836,0.330915603637695,0.116922903060913,44.6,97.9804534912109,88.4827117919922,73.81,0.350508927890502,0.602527879150835,0.0469631929586632,"Americas","[1.75e+03,8.4e+03]","[1.75e+03,8.4e+03]",0,1,25.5587537779967,8.95384684098042,4,12,0,0,6,2,0,20,97,0,0,0,1
"80","Nigeria","NGA",0.27,148,9,1.97,"123","Nigeria",115,16,0.5705721378,0.3526607367,0.3323129252,0.1217828809,0.851616,0.9524148304,0.8721822758,0.489,0.738706591,0.7129894142,0.6232,0.4,0.4,0.113,0.24,0.3,2.8,11.806,178700000,1.0917e+12,0.027,0.047,6108.4,0.058,0.09,3064200000,0.115,0.051024398803711,0.099448299407959,0.0487274003028869,37.4,95.3238220214844,87.0466690063477,53.95,0.440131179412448,0.532377460928992,0.0274913596585596,"Sub-Saharan Africa","(5.56e+03,3.18e+04]","(5.56e+03,3.18e+04]",0,1,27.7187572302326,8.71742015207903,4,21,5,0,25,0,0,51,87,0,0,0,4
"81","Tajikistan","TJK",0.21,161,5,2.36,"161","Tajikistan",109,23,0.5816732442,0.4545600502,0.4556514914,0.327,0.908616,0.741050556,0.9583868311,0.656,0.4922723775,0.6977416247,0.7388,0.25,0.3,0.056,0.13,0.15,22.8,31.975,8500000,2.33e+10,0.03,0.064,2749.4,0.109,0.058,226800000,0.359,0.0583796977996826,0.192308759689331,0.00546869993209839,37.3,92.9507598876953,72.8929672241211,70.647,0.364524133731099,0.60564872591683,0.0298271403520705,"Asia-Pacific","[1.95e+03,3.95e+03]","[1.95e+03,3.95e+03]",0,1,23.8717191975181,7.91913798503732,6,40,13,0,42,0,0,95,44,0,0,3,3
"82","Honduras","HND",0.29,135,8,2.32,"70","Honduras",100,21,0.5884059017,0.4498176103,0.3816064887,0.3217649354,0.832564,0.7466374837,0.6412250438,0.569,0.311741019,0.7725142392,0.784,0.65,0.6,0.058,0.25,0.25,20.6,27.95,8400000,4.11e+10,0.036,0.035,4868.6,0.039,0.032,1203500000,0.474,0.0493701982498169,0.381854209899902,0.17461389541626,49.4,97.9804534912109,88.4827117919922,74.898,0.323450927472473,0.630940799424076,0.0456082731034521,"Americas","[1.75e+03,8.4e+03]","[1.75e+03,8.4e+03]",0,1,24.4392739584486,8.49056170041532,2,6,0,0,6,0,0,12,104,0,0,0,0
"83","Nicaragua","NIC",0.26,151,8,1.29,"121","Nicaragua",98,20,0.5919355497,0.3107379248,0.1586865515,0.2743894569,0.772039,0.8079325179,0.9614130115,0.59,0.556000794,0.7116273396,0.8104,0.65,0.5,0.02,0.3,0.3,21.9,26.408,6300000,3.13e+10,0.045,0.05,4997.2,0.06,0.04,8.35e+08,0.312,0.0435768985748291,0.251529455184937,0.131295752525329,44.6,97.9804534912109,88.4827117919922,74.068,0.305483953724178,0.643993136247922,0.0505229100279004,"Americas","[1.75e+03,8.4e+03]","[1.75e+03,8.4e+03]",0,1,24.1668839344925,8.51663303455767,4,17,4,0,22,1,0,44,91,0,0,1,2
"84","Cambodia","KHM",0.21,161,8,2.43,"27","Cambodia",94,20,0.5951821986,0.4235759455,0.2206959707,0.1284682577,0.902044,0.8811014608,0.9572256943,0.296,0.6201226048,0.8099524497,0.803,0.6,0.5,0.049,0.2,0.2,13.4,18.158,15500000,5.42e+10,0.069,0.072,3488,0.005,0.012,1.701e+09,0.336,0.0453353023529053,0.192308759689331,0.0919659996032715,37.3,92.9507598876953,72.8929672241211,69.289,0.31272428607452,0.643167339906176,0.0441083740193033,"Asia-Pacific","[1.95e+03,3.95e+03]","[1.95e+03,3.95e+03]",0,1,24.715946745392,8.15708378502887,6,1,0,0,10,0,0,11,105,0,0,0,1
"85","Turkmenistan","TKM",0.19,167,5,1.78,"170","Turkmenistan",170,41,0.4736511506,0.324,0.05,0.296,0.953324,0.9228315592,0.9891645565,0.3,0.2,0.7484936918,0.8,0,0.1,0,0.1,0.08,17.4,16.188,5900000,8.86e+10,0.065,0.106,16444.5,0.1,0.055,4258800000,0.233,0.0351159000396729,0.0289137506484986,0.0242200502753258,37.3,98.8564605712891,91.895751953125,67.956,0.30910314889694,0.648121886868414,0.0427749642346457,"Asia-Pacific","(9.38e+03,1.76e+04]","(9.38e+03,1.76e+04]",0,1,25.2073976945574,9.7077463537827,6,40,11,0,42,0,0,93,48,0,0,2,4
